銘柄コード,銘柄名称,銘柄略称
5570,ジェノバ,Ｇ－ジェノバ
5571,エキサイトホールディングス,エキサイトＨＤ
5572,Ｒｉｄｇｅ－ｉ,Ｇ－リッジアイ
5573,働楽ホールディングス,Ｐ－働楽ＨＤ
5574,ＡＢＥＪＡ,Ｇ－ＡＢＥＪＡ
5575,Ｇｌｏｂｅｅ,Ｇ－Ｇｌｏｂｅｅ
5576,オービーシステム,オービーシステム
5577,アイデミー,Ｇ－アイデミー
5578,ＡＲアドバンストテクノロジ,Ｇ－ＡＲアドバンスト
5580,プロディライト,Ｇ－プロディライト
5581,カイテクノロジー,Ｐ－カイテクノロジー
5582,グリッド,Ｇ－グリッド
5584,Ｓｔｒａｗｂｅｒｒｙ　ｊａｍｓ,Ｐ－ストロベリｊａｍ
5586,Ｌａｂｏｒｏ．ＡＩ,Ｇ－ＬａｂｏｒｏＡＩ
5587,インバウンドプラットフォーム,Ｇ－インバウンドＰＦ
5588,ファーストアカウンティング,Ｇ－ファーストＡ
5589,オートサーバー,オートサーバー
5590,ネットスターズ,Ｇ－ネットスターズ
5591,ＡＶＩＬＥＮ,Ｇ－ＡＶＩＬＥＮ
5592,くすりの窓口,Ｇ－くすりの窓口
5594,エム・デー・ビー,Ｐ－エム・デー・ビー
5595,ＱＰＳ研究所,Ｇ－ＱＰＳ研究所
5596,アウトルックコンサルティング,Ｇ－アウトルック
5597,ブルーイノベーション,Ｇ－ブルーイノベ
5598,Ｙｏｔｔａｖｉａｓ,Ｐ－Ｙｏｔｔａｖｉａ
5599,Ｓ＆Ｊ,Ｇ－Ｓ＆Ｊ
5602,栗本鐵工所,栗本鉄
5603,虹技,虹技
5609,日本鋳造,日鋳造
5612,日本鋳鉄管,日鋳鉄管
5616,雨風太陽,Ｇ－雨風太陽
5617,ウィル・ドゥ,Ｐ－ウィル・ドゥ
5618,ナイル,Ｇ－ナイル
5619,マーソ,Ｇ－マーソ
5620,エスピーオー,Ｐ－エスピーオー
5621,ヒューマンテクノロジーズ,Ｇ－ヒューマンＴ
5631,日本製鋼所,日製鋼所
5632,三菱製鋼,三菱製鋼
5644,メタルアート,メタルアート
5658,日亜鋼業,日亜鋼
5659,日本精線,日精線
5660,神鋼鋼線工業,神鋼鋼線
5695,パウダーテック,パウダテック
5697,サンユウ,サンユウ
5698,エンビプロ・ホールディングス,エンビプロＨＤ
5699,イボキン,イボキン
5702,大紀アルミニウム工業所,大紀アルミ
5703,日本軽金属ホールディングス,日軽金ＨＤ
5704,ＪＭＣ,ＪＭＣ
5706,三井金属,三井金属
5707,東邦亜鉛,東邦鉛
5711,三菱マテリアル,三菱マ
5713,住友金属鉱山,住友鉱
5714,ＤＯＷＡホールディングス,ＤＯＷＡ
5715,古河機械金属,古河機金
5721,エスクリプトエナジー,エスクリプトエナジー
5724,アサカ理研,アサカ理研
5726,大阪チタニウムテクノロジーズ,大阪チタ
5727,東邦チタニウム,邦チタニウム
5729,日本精鉱,日精鉱
5741,ＵＡＣＪ,ＵＡＣＪ
5742,エヌアイシ・オートテック,ＮＩＣ
5753,日本伸銅,日伸銅
5757,ＣＫサンエツ,ＣＫサンエツ
5801,古河電気工業,古河電工
5802,住友電気工業,住友電工
5803,フジクラ,フジクラ
5805,ＳＷＣＣ,ＳＷＣＣ
5816,オーナンバ,オーナンバ
5817,ＪＭＡＣＳ,ＪＭＡＣＳ
5819,カナレ電気,カナレ電気
5820,三ッ星,三ッ星
5821,平河ヒューテック,平河ヒューテ
5830,いよぎんホールディングス,いよぎんＨＤ
5831,しずおかフィナンシャルグループ,しずおかＦＧ
5832,ちゅうぎんフィナンシャルグループ,ちゅうぎんＦＧ
5834,ＳＢＩリーシングサービス,Ｇ－ＳＢＩリーシング
5838,楽天銀行,楽天銀行
5840,日本総険,Ｐ－日本総険
5842,インテグラル,Ｇ－インテグラル
5843,ニッポンインシュア,ニッポンインシュア
5844,京都フィナンシャルグループ,京都ＦＧ
5845,全保連,全保連
5851,リョービ,リョービ
5852,アーレスティ,アーレスティ
5856,エルアイイーエイチ,エルアイイーエイチ
5857,ＡＲＥホールディングス,ＡＲＥＨＤ
5858,ＳＴＧ,Ｇ－ＳＴＧ
5866,ＷｉｚＢｉｚ,Ｐ－ＷｉｚＢｉｚ
5867,エスネットワークス,Ｇ－エスネット
5870,ナルネットコミュニケーションズ,Ｇ－ナルネット
5883,ＧＴホールディングス,Ｐ－ＧＴＨＤ
5884,クラダシ,Ｇ－クラダシ
5885,ジーデップ・アドバンス,ジーデップアドバンス
5886,ＯＯＫＡＢＥ　ＧＬＡＳＳ,Ｐ－ＯＯＫＡＢＥ
5887,光響,Ｐ－光響
5888,ＤＡＩＷＡ　ＣＹＣＬＥ,Ｇ－ダイワサイクル
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,ＪＥＨ
5890,オフィスバスターズ,Ｐ－オフィスバスター
5891,ＳＡＫＩＧＡＫＥホールディングス,ＳＡＫＩＧＡＫＥ
5892,ｙｕｔｏｒｉ,Ｇ－ｙｕｔｏｒｉ
5900,ダイケン,ダイケン
5901,東洋製罐グループホールディングス,洋缶ＨＤ
5902,ホッカンホールディングス,ホッカンＨＤ
5903,シンポ,ＳＨＩＮＰＯ
5905,日本製罐,日缶
5906,エムケー精工,エムケー精工
5909,コロナ,コロナ
5911,横河ブリッジホールディングス,横河ブＨＤ
5915,駒井ハルテック,駒井ハルテック
5918,瀧上工業,滝上工
5921,川岸工業,川岸工
5922,那須電機鉄工,那須鉄
5923,高田機工,高田機工
5928,アルメタックス,アルメタックス
5929,三和ホールディングス,三和ＨＤ
5930,文化シヤッター,文化シヤター
5932,三協立山,三協立山
5933,アルインコ,アルインコ
5936,東洋シヤッター,洋シヤター
5938,ＬＩＸＩＬ,ＬＩＸＩＬ
5939,大谷工業,大谷工業
5940,不二サッシ,不二サッシ
5941,中西製作所,中西製作所
5942,日本フイルコン,日フイルコン
5943,ノーリツ,ノーリツ
5945,天龍製鋸,天龍製鋸
5946,長府製作所,長府製
5947,リンナイ,リンナイ
5949,ユニプレス,ユニプレス
5950,日本パワーファスニング,日本パワーファス
5951,ダイニチ工業,ダイニチ工
5952,アマテイ,アマテイ
5955,ワイズホールディングス,ワイズＨＤ
5956,トーソー,トーソー
5957,日東精工,日東精工
5958,三洋工業,三洋工
5959,岡部,岡部
5962,浅香工業,浅香工業
5965,フジマック,フジマック
5966,京都機械工具,京都機械工具
5967,ＴＯＮＥ,ＴＯＮＥ
5969,ロブテックス,ロブテックス
5970,ジーテクト,ジーテクト
5971,共和工業所,共和工業
5973,トーアミ,トーアミ
5974,中国工業,中国工
5975,東プレ,東プレ
5976,高周波熱錬,ネツレン
5981,東京製綱,東製綱
5982,マルゼン,マルゼン
5983,イワブチ,イワブチ
5984,兼房,兼房
5985,サンコール,サンコール
5986,モリテック　スチール,モリテック
5987,オーネックス,オーネックス
5988,パイオラックス,パイオラックス
5989,エイチワン,エイチワン
5990,スーパーツール,スーパーツール
5991,日本発條,ニッパツ
5992,中央発條,中央発条
5994,ファインシンター,ファインシンター
5997,協立エアテック,協立エアテク
5998,アドバネクス,アドバネクス
6005,三浦工業,三浦工
6013,タクマ,タクマ
6016,ジャパンエンジンコーポレーション,ジャパンエンジン
6018,阪神内燃機工業,阪神内燃機工業
6022,赤阪鐵工所,赤阪鉄
6023,ダイハツインフィニアース,ダイハツインフィ
6026,ＧＭＯ　ＴＥＣＨ,Ｇ－ＧＭＯＴＥＣＨ
6027,弁護士ドットコム,弁護士ドットコム
6028,テクノプロ・ホールディングス,テクノプロＨＤ
6029,アトラグループ,アトラＧ
6030,アドベンチャー,Ｇ－アドベンチャー
6031,ＺＥＴＡ,Ｇ－ＺＥＴＡ
6033,エクストリーム,Ｇ－エクストリーム
6034,ＭＲＴ,Ｇ－ＭＲＴ
6035,アイ・アールジャパンホールディングス,ＩＲＪａｐａｎ　ＨＤ
6036,ＫｅｅＰｅｒ技研,ＫｅｅＰｅｒ技研
6037,楽待,楽待
6038,イード,Ｇ－イード
6039,日本動物高度医療センター,Ｇ－日本動物高度医療
6040,日本スキー場開発,Ｇ－日本スキー
6042,ニッキ,ニッキ
6044,三機サービス,三機サービス
6045,レントラックス,Ｇ－レントラックス
6046,リンクバル,リンクバル
6047,Ｇｕｎｏｓｙ,Ｇｕｎｏｓｙ
6048,デザインワン・ジャパン,デザインワン
6049,イトクロ,Ｇ－イトクロ
6050,イー・ガーディアン,Ｅガーディアン
6054,リブセンス,リブセンス
6055,ジャパンマテリアル,Ｊマテリアル
6058,ベクトル,ベクトル
6059,ウチヤマホールディングス,ウチヤマＨＤ
6060,こころネット,こころネット
6061,ユニバーサル園芸社,ユニバ園芸
6062,チャーム・ケア・コーポレーション,チャームケア
6063,日本エマージェンシーアシスタンス,ＥＡＪ
6069,トレンダーズ,Ｇ－Ｔｒｅｎｄｓ
6070,キャリアリンク,キャリアリンク
6071,ＩＢＪ,ＩＢＪ
6072,地盤ネットホールディングス,地盤ネットＨＤ
6073,アサンテ,アサンテ
6074,ジェイエスエス,ＪＳＳ
6078,バリューＨＲ,バリューＨＲ
6080,Ｍ＆Ａキャピタルパートナーズ,Ｍ＆Ａキャピタル
6081,アライドアーキテクツ,Ｇ－アライドアーキ
6082,ライドオンエクスプレスホールディングス,ライドオンＥＸＨＤ
6083,ＥＲＩホールディングス,ＥＲＩ　ＨＤ
6085,アーキテクツ・スタジオ・ジャパン,Ｇ－アーキテクツＳＪ
6086,シンメンテホールディングス,Ｇ－シンメンテＨＤ
6087,アビスト,アビスト
6088,シグマクシス・ホールディングス,シグマクシスＨＤ
6089,ウィルグループ,ウィルグループ
6090,ヒューマン・メタボローム・テクノロジーズ,ＨＭＴ
6091,ウエスコホールディングス,ウエスコＨＤ
6092,エンバイオ・ホールディングス,エンバイオＨＤ
6093,ミトラグループ,ミトラＧ
6094,フリークアウト・ホールディングス,Ｇ－フリークアウト
6095,メドピア,メドピア
6096,レアジョブ,レアジョブ
6098,リクルートホールディングス,リクルートＨＤ
6099,エラン,エラン
6101,ツガミ,ツガミ
6103,オークマ,オークマ
6104,芝浦機械,芝浦機械
6113,アマダ,アマダ
6118,アイダエンジニアリング,アイダ
6125,岡本工作機械製作所,岡本工機
6134,ＦＵＪＩ,ＦＵＪＩ
6135,牧野フライス製作所,牧野フライス
6136,オーエスジー,ＯＳＧ
6137,小池酸素工業,小池酸工
6138,ダイジェット工業,ダイジェット
6140,旭ダイヤモンド工業,旭ダイヤ
6141,ＤＭＧ森精機,ＤＭＧ森精機
6143,ソディック,ソディック
6144,西部電機,西部電機
6145,ＮＩＴＴＯＫＵ,ＮＩＴＴＯＫＵ
6146,ディスコ,ディスコ
6147,ヤマザキ,ヤマザキ
6149,小田原エンジニアリング,小田原エン
6150,タケダ機械,タケダ機械
6151,日東工器,日東工器
6155,高松機械工業,高松機械
6156,エーワン精密,エーワン精密
6157,日進工具,日進工具
6158,和井田製作所,和井田
6159,ミクロン精密,ミクロン精密
6161,エスティック,エスティック
6165,パンチ工業,パンチ
6166,中村超硬,Ｇ－中村超硬
6167,冨士ダイス,冨士ダイス
6168,ＯＮＥ　ＧＲＯＵＰ,Ｐ－ＯＮＥＧＲＯＵＰ
6171,土木管理総合試験所,土木管理総合試験所
6173,アクアライン,Ｇ－アクアライン
6174,デンタス,Ｐ－デンタス
6176,ブランジスタ,ブランジスタ
6177,ＡｐｐＢａｎｋ,Ｇ－ＡｐｐＢａｎｋ
6178,日本郵政,日本郵政
6180,ＧＭＯメディア,Ｇ－ＧＭＯメディア
6181,タメニー,Ｇ－タメニー
6182,メタリアル,Ｇ－メタリアル
6183,ベルシステム２４ホールディングス,ベル２４ＨＤ
6184,鎌倉新書,鎌倉新書
6185,ＳＭＮ,ＳＭＮ
6186,一蔵,一蔵
6189,グローバルキッズＣＯＭＰＡＮＹ,グローバルキッズＣ
6190,フェニックスバイオ,Ｇ－ＰＸＢ
6191,エアトリ,エアトリ
6193,バーチャレクス・ホールディングス,Ｇ－バーチャレクス
6194,アトラエ,アトラエ
6195,ホープ,Ｇ－ホープ
6196,ストライクグループ,ストライクＧ
6197,ソラスト,ソラスト
6198,キャリア,Ｇ－キャリア
6199,セラク,セラク
6200,インソース,インソース
6201,豊田自動織機,豊田織
6203,豊和工業,豊和工
6208,石川製作所,石川製
6209,リケンＮＰＲ,リケンＮＰＲ
6210,ＴＯＹＯイノベックス,ＴＯＹＯイノベックス
6217,津田駒工業,津田駒工
6218,エンシュウ,エンシュウ
6222,島精機製作所,島精機
6223,西部技研,西部技研
6224,ＪＲＣ,Ｇ－ＪＲＣ
6226,守谷輸送機工業,守谷輸送機工業
6227,ＡＩメカテック,ＡＩメカテック
6228,ジェイ・イー・ティ,ジェイ・イー・ティ
6229,オーケーエム,オーケーエム
6230,ＳＡＮＥＩ,ＳＡＮＥＩ
6231,木村工機,木村工機
6232,ＡＣＳＬ,Ｇ－ＡＣＳＬ
6233,ＫＬＡＳＳ,ＫＬＡＳＳ
6235,オプトラン,オプトラン
6237,イワキポンプ,イワキポンプ
6238,フリュー,フリュー
6239,ナガオカ,ナガオカ
6240,ヤマシンフィルタ,ヤマシンフィルタ
6245,ヒラノテクシード,ヒラノテクシード
6246,テクノスマート,テクノスマート
6247,日阪製作所,日阪製作
6248,横田製作所,横田製作所
6249,ゲームカードホールディングス,ゲームカードＨＤ
6250,やまびこ,やまびこ
6254,野村マイクロ・サイエンス,野村マイクロ
6255,エヌ・ピー・シー,Ｇ－ＮＰＣ
6257,藤商事,藤商事
6258,平田機工,平田機工
6262,ＰＥＧＡＳＵＳ,ＰＥＧＡＳＵＳ
6264,マルマエ,マルマエ
6265,コンバム,コンバム
6266,タツモ,タツモ
6267,ゼネラルパッカー,ゼネパッカー
6268,ナブテスコ,ナブテスコ
6269,三井海洋開発,三井海洋
6272,レオン自動機,レオン自機
6273,ＳＭＣ,ＳＭＣ
6276,シリウスビジョン,シリウスＶ
6277,ホソカワミクロン,ホソカワミクロン
6278,ユニオンツール,ユニオンツール
6279,瑞光,瑞光
6282,オイレス工業,オイレス工
6284,日精エー・エス・ビー機械,ＡＳＢ機械
6286,靜甲,靜甲
6287,サトー,サトー
6289,技研製作所,技研製作所
6291,日本エアーテック,エアーテック
6292,カワタ,カワタ
6293,日精樹脂工業,日精樹脂
6294,オカダアイヨン,オカダアイヨン
6297,鉱研工業,鉱研工業
6298,ワイエイシイホールディングス,ワイエイシイＨＤ
6301,小松製作所,コマツ
6302,住友重機械工業,住友重
6305,日立建機,日立建機
6306,日工,日工
6307,サンセイ,サンセイ
6309,巴工業,巴工業
6310,井関農機,井関農
6312,フロイント産業,フロイント
6315,ＴＯＷＡ,ＴＯＷＡ
6316,丸山製作所,丸山製
6317,北川鉄工所,北川鉄
6322,タクミナ,タクミナ
6323,ローツェ,ローツェ
6324,ハーモニック・ドライブ・システムズ,ハーモニック
6325,タカキタ,タカキタ
6326,クボタ,クボタ
6327,北川精機,北川精機
6328,荏原実業,荏原実業
6330,東洋エンジニアリング,洋エンジ
6331,三菱化工機,菱化工機
6332,月島ホールディングス,月島ＨＤ
6333,ＴＥＩＫＯＫＵ,ＴＥＩＫＯＫＵ
6334,明治機械,明治機
6335,東京機械製作所,東京機
6336,石井表記,石井表記
6337,テセック,テセック
6338,タカトリ,タカトリ
6339,新東工業,新東工
6340,澁谷工業,渋谷工
6342,太平製作所,太平製作所
6343,フリージア・マクロス,フリージアマク
6345,アイチ　コーポレーション,アイチ
6346,キクカワエンタープライズ,キクカワ
6347,プラコー,プラコー
6349,小森コーポレーション,小森
6351,鶴見製作所,鶴見製
6356,日本ギア工業,日ギア
6357,三精テクノロジーズ,三精テクノロジーズ
6358,酒井重工業,酒井重
6360,東京自働機械製作所,東自機
6361,荏原製作所,荏原製
6363,酉島製作所,酉島製
6364,ＡＩＲＭＡＮ,ＡＩＲＭＡＮ
6365,電業社機械製作所,電業社
6366,千代田化工建設,千代化建
6367,ダイキン工業,ダイキン工
6368,オルガノ,オルガノ
6369,トーヨーカネツ,トーヨーカネツ
6370,栗田工業,栗田工
6371,椿本チエイン,椿本チエイン
6373,大同工業,大同工
6376,日機装,日機装
6378,木村化工機,木村化工
6379,レイズネクスト,レイズネクスト
6380,オリエンタルチエン工業,オリチエン工業
6381,アネスト岩田,アネスト岩田
6382,トリニティ工業,トリニ工
6383,ダイフク,ダイフク
6384,昭和真空,昭和真空
6387,サムコ,サムコ
6390,加藤製作所,加藤製
6391,加地テック,加地テック
6392,ヤマダコーポレーション,ヤマダコーポ
6393,油研工業,油研工
6395,タダノ,タダノ
6396,宇野澤組鐵工所,宇野沢鉄
6400,不二精機,不二精機
6402,兼松エンジニアリング,兼松エンジニア
6403,水道機工,水道機工
6405,鈴茂器工,鈴茂器工
6406,フジテック,フジテック
6407,ＣＫＤ,ＣＫＤ
6408,小倉クラッチ,小倉クラッチ
6411,中野冷機,中野冷機
6412,平和,平和
6413,理想科学工業,理想科学
6416,桂川電機,桂川電機
6417,ＳＡＮＫＹＯ,ＳＡＮＫＹＯ
6418,日本金銭機械,日金銭
6419,マースグループホールディングス,マースグループＨＤ
6420,ガリレイホールディングス,ガリレイ
6424,高見沢サイバネティックス,高見サイ
6425,ユニバーサルエンターテインメント,ユニバーサル
6428,オーイズミ,オーイズミ
6430,ダイコク電機,ダイコク電
6432,竹内製作所,竹内製作所
6433,ヒーハイスト,ヒーハイスト
6436,アマノ,アマノ
6440,ＪＵＫＩ,ＪＵＫＩ
6444,サンデン,サンデン
6445,ジャノメ,ジャノメ
6448,ブラザー工業,ブラザー
6454,マックス,マックス
6455,モリタホールディングス,モリタＨＤ
6457,グローリー,グローリー
6458,新晃工業,新晃工業
6459,だいわ,だいわ
6460,セガサミーホールディングス,セガサミーＨＤ
6463,ＴＰＲ,ＴＰＲ
6464,ツバキ・ナカシマ,ツバキ・ナカシマ
6465,ホシザキ,ホシザキ
6466,ＴＶＥ,ＴＶＥ
6467,ニチダイ,ニチダイ
6469,放電精密加工研究所,放電精密
6470,大豊工業,大豊工業
6471,日本精工,日本精工
6472,ＮＴＮ,ＮＴＮ
6473,ジェイテクト,ジェイテクト
6474,不二越,不二越
6479,ミネベアミツミ,ミネベアミツミ
6480,日本トムソン,日トムソン
6481,ＴＨＫ,ＴＨＫ
6482,ＹＵＳＨＩＮ,ＹＵＳＨＩＮ
6484,ＫＶＫ,ＫＶＫ
6485,前澤給装工業,前沢給装
6486,イーグル工業,イーグル工
6488,ヨシタケ,ヨシタケ
6489,前澤工業,前沢工
6490,ＰＩＬＬＡＲ,ＰＩＬＬＡＲ
6492,岡野バルブ製造,岡野バル
6493,ＮＩＴＴＡＮ,ＮＩＴＴＡＮ
6494,ＮＦＫホールディングス,ＮＦＫ－ＨＤ
6495,宮入バルブ製作所,宮入バル
6496,中北製作所,中北製作所
6497,ハマイ,ハマイ
6498,キッツ,キッツ
6501,日立製作所,日立
6503,三菱電機,三菱電
6504,富士電機,富士電機
6505,東洋電機製造,東洋電
6506,安川電機,安川電
6507,シンフォニアテクノロジー,シンフォニア
6508,明電舎,明電舎
6513,オリジン,オリジン
6516,山洋電気,山洋電気
6517,デンヨー,デンヨー
6518,三相電機,三相電機
6521,オキサイド,Ｇ－オキサイド
6522,アスタリスク,Ｇ－アスタリスク
6523,ＰＨＣホールディングス,ＰＨＣＨＤ
6524,湖北工業,湖北工業
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,ＫＯＫＵＳＡＩ
6526,ソシオネクスト,ソシオネクスト
6527,ワカ製作所,Ｐ－ワカ製作所
6532,ベイカレント,ベイカレント
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,オーケストラＨＤ
6535,アイモバイル,アイモバイル
6537,ＷＡＳＨハウス,Ｇ－ＷＡＳＨハウス
6538,ディスラプターズ,ディスラプターズ
6539,ＭＳ－Ｊａｐａｎ,ＭＳ－Ｊａｐａｎ
6540,船場,船場
6542,ＦＣホールディングス,ＦＣＨＤ
6543,日宣,日宣
6544,ジャパンエレベーターサービスホールディングス,ＪＥＳＨＤ
6545,インターネットインフィニティー,Ｇ－ＩＩＦ
6546,フルテック,フルテック
6547,グリーンズ,グリーンズ
6548,旅工房,Ｇ－旅工房
6549,ディーエムソリューションズ,ディーエムソリュ
6551,ツナググループ・ホールディングス,ツナグＧＨＤ
6552,ＧａｍｅＷｉｔｈ,ＧａｍｅＷｉｔｈ
6554,エスユーエス,Ｇ－エスユーエス
6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,ＭＳコンサル
6557,ＡＩＡＩグループ,Ｇ－ＡＩＡＩ
6558,クックビズ,Ｇ－クックビズ
6560,エル・ティー・エス,ＬＴＳ
6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,Ｇ－ＨＡＮＡＴＯＵＲ
6562,ジーニー,Ｇ－ジーニー
6563,みらいワークス,Ｇ－みらいワークス
6564,ミダックホールディングス,ミダックＨＤ
6565,ＡＢホテル,ＡＢホテル
6566,要興業,要興業
6568,神戸天然物化学,Ｇ－神戸天然物化学
6570,共和コーポレーション,共和コーポレーション
6571,キュービーネットホールディングス,キュービーネットＨＤ
6572,オープングループ,オープンＧ
6573,ＣＲＡＶＩＡ,Ｇ－ＣＲＡＶＩＡ
6574,コンヴァノ,Ｇ－コンヴァノ
6576,揚工舎,Ｐ－揚工舎
6577,ベストワンドットコム,Ｇ－ベストワンドット
6578,コレックホールディングス,コレックＨＤ
6579,ログリー,Ｇ－ログリー
6580,ライトアップ,Ｇ－ライトアップ
6584,三櫻工業,三桜工
6586,マキタ,マキタ
6588,東芝テック,東芝テック
6590,芝浦メカトロニクス,芝浦
6592,マブチモーター,マブチモーター
6594,ニデック,ニデック
6596,筑波精工,Ｐ－筑波精工
6597,ＨＰＣシステムズ,Ｇ－ＨＰＣシステムズ
6599,エブレン,エブレン
6612,バルミューダ,Ｇ－バルミューダ
6613,ＱＤレーザ,Ｇ－ＱＤレーザ
6614,シキノハイテック,シキノハイテック
6615,ユー・エム・シー・エレクトロニクス,ＵＭＣエレ
6616,トレックス・セミコンダクター,トレックスセミ
6617,東光高岳,東光高岳
6619,ダブル・スコープ,ＷＳＣＯＰＥ
6620,宮越ホールディングス,宮越ＨＤ
6622,ダイヘン,ダイヘン
6625,ＪＡＬＣＯホールディングス,ＪＡＬＣＯ　ＨＤ
6626,ＳＥＭＩＴＥＣ,ＳＥＭＩＴＥＣ
6627,テラプローブ,テラプローブ
6629,テクノホライゾン,テクノホライゾン
6630,ヤーマン,ヤーマン
6632,ＪＶＣケンウッド,ＪＶＣＫＷ
6633,ＣＧＳホールディングス,ＣＧＳＨＤ
6634,ＪＮグループ,ＪＮグループ
6635,大日光・エンジニアリング,大日光
6637,寺崎電気産業,寺崎電気
6638,ミマキエンジニアリング,Ｍｉｍａｋｉ
6643,戸上電機製作所,戸上電
6644,大崎電気工業,大崎電
6645,オムロン,オムロン
6647,森尾電機,森尾電
6648,かわでん,かわでん
6651,日東工業,日東工
6652,ＩＤＥＣ,ＩＤＥＣ
6653,正興電機製作所,正興電機製作所
6654,不二電機工業,不二電機工業
6656,インスペック,ＩＮＳＰＥＣ
6658,シライ電子工業,シライ電子
6659,メディアリンクス,メディアリンクス
6662,ユビテック,ユビテック
6663,太洋テクノレックス,太洋テクノレックス
6664,オプトエレクトロニクス,オプトエレクト
6666,リバーエレテック,リバーエレテク
6668,アドテック　プラズマ　テクノロジー,アドテック　プラズマ
6670,ＭＣＪ,ＭＣＪ
6674,ジーエス・ユアサ　コーポレーション,ＧＳユアサ
6675,サクサ,サクサ
6676,ＢＵＦＦＡＬＯ,ＢＵＦＦＡＬＯ
6677,エスケーエレクトロニクス,エスケーエレク
6678,テクノメディカ,テクノメディカ
6694,ズーム,ズーム
6695,キャストリコ,Ｐ－キャストリコ
6696,トラース・オン・プロダクト,Ｇ－トラースＯＰ
6699,ダイヤモンドエレクトリックホールディングス,ダイヤＨＤ
6701,日本電気,ＮＥＣ
6702,富士通,富士通
6703,沖電気工業,ＯＫＩ
6706,電気興業,電気興
6707,サンケン電気,サンケン電
6718,アイホン,アイホン
6721,ウインテスト,ウインテスト
6723,ルネサスエレクトロニクス,ルネサス
6724,セイコーエプソン,エプソン
6727,ワコム,ワコム
6728,アルバック,アルバック
6730,アクセル,アクセル
6731,ピクセラ,ピクセラ
6734,ニューテック,ニューテック
6736,サン電子,サン電子
6737,ＥＩＺＯ,ＥＩＺＯ
6740,ジャパンディスプレイ,ＪＤＩ
6741,日本信号,日信号
6742,京三製作所,京三製
6743,大同信号,大同信号
6744,能美防災,能美防災
6745,ホーチキ,ホーチキ
6748,星和電機,星和電機
6750,エレコム,エレコム
6752,パナソニック　ホールディングス,パナソニックＨＤ
6753,シャープ,シャープ
6754,アンリツ,アンリツ
6755,富士通ゼネラル,富士通ゼ
6757,ＯＳＧコーポレーション,ＯＳＧコーポ
6758,ソニーグループ,ソニーグループ
6762,ＴＤＫ,ＴＤＫ
6763,帝国通信工業,帝通工
6768,タムラ製作所,タムラ製
6769,ザインエレクトロニクス,ザイン
6770,アルプスアルパイン,アルプスアルパイン
6771,池上通信機,池上通
6772,東京コスモス電機,コスモス電
6775,ＴＢグループ,ＴＢグループ
6776,天昇電気工業,天昇電
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,ｓａｎｔｅｃＨＤ
6778,アルチザネットワークス,アルチザ
6779,日本電波工業,日電波
6785,鈴木,鈴木
6786,ＲＶＨ,ＲＶＨ
6787,メイコー,メイコー
6788,日本トリム,日本トリム
6794,フォスター電機,フォスター電
6798,ＳＭＫ,ＳＭＫ
6800,ヨコオ,ヨコオ
6803,ティアック,ティアック
6804,ホシデン,ホシデン
6806,ヒロセ電機,ヒロセ電
6807,日本航空電子工業,航空電子
6809,ＴＯＡ,ＴＯＡ
6810,マクセル,マクセル
6814,古野電気,古野電気
6817,スミダコーポレーション,スミダ
6819,伊豆シャボテンリゾート,伊豆シャボテンＲ
6820,アイコム,アイコム
6822,大井電気,大井電気
6823,リオン,リオン
6824,新コスモス電機,新コスモス
6832,アオイ電子,アオイ電子
6834,精工技研,精工技研
6835,アライドテレシスホールディングス,アライドＨＤ
6836,ぷらっとホーム,プラット
6837,京写,京写
6838,多摩川ホールディングス,多摩川ＨＤ
6840,ＡＫＩＢＡホールディングス,ＡＫＩＢＡ
6841,横河電機,横河電
6844,新電元工業,新電元
6845,アズビル,アズビル
6848,東亜ディーケーケー,東亜ディーケーケー
6849,日本光電工業,日本光電
6850,チノー,チノー
6853,共和電業,共和電
6855,日本電子材料,電子材料
6856,堀場製作所,堀場製
6857,アドバンテスト,アドバンテス
6858,小野測器,小野測器
6859,エスペック,エスペック
6861,キーエンス,キーエンス
6862,ミナトホールディングス,ミナトＨＤ
6863,ニレコ,ニレコ
6864,エヌエフホールディングス,エヌエフＨＤ
6866,日置電機,日置電
6867,リーダー電子,リーダ電子
6869,シスメックス,シスメックス
6870,日本フェンオール,日本フェンオール
6871,日本マイクロニクス,日マイクロニクス
6874,協立電機,協立電機
6875,メガチップス,メガチップス
6877,ＯＢＡＲＡ　ＧＲＯＵＰ,ＯＢＡＲＡ－Ｇ
6879,ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,ＩＭＡＧＩＣＡ　Ｇ
6882,三社電機製作所,三社電機製作所
6888,アクモス,アクモス
6890,フェローテック,フェローテック
6894,パルステック工業,パルステック
6897,ツインバード,ツインバード
6898,トミタ電機,トミタ電機
6899,ＡＳＴＩ,ＡＳＴＩ
6901,澤藤電機,沢藤電
6902,デンソー,デンソー
6904,原田工業,原田工業
6905,コーセル,コーセル
6907,ジオマテック,ジオマテック
